,GICS Sector,GICS Sub-Industry,Name,open,high,low,close,daily_gain,daily_volatility,daily_gain%,volatility%
171,Financials,Property & Casualty Insurance,CB,115.28966243050058,116.00861183478969,114.55749118347914,115.32315329626695,0.03349086576648151,1.451120651310564,0.029931763769859773,1.2614195971483249
130,Financials,Asset Management & Custody Banks,BK,40.20586973788727,40.52439030976966,39.891012629070694,40.21694996028594,0.01108022239872932,0.6333776806989665,0.02989231373460189,1.5989990253559865
138,Financials,Consumer Finance,DFS,57.99316123907863,58.46621882446391,57.52109515488484,58.00950754567117,0.016346306592533846,0.9451236695790333,0.029651471622550343,1.6447782084160654
71,Consumer Discretionary,Specialty Stores,KMX,56.281513105639476,56.890843288324064,55.67833717235906,56.295448768864155,0.013935663224781788,1.212506115965052,0.029628541702840388,2.1795448444037255
102,Consumer Staples,Soft Drinks,MNST,39.051156155679095,39.459483717235834,38.63957212073074,39.06191382049241,0.010757664813343908,0.819911596505162,0.029516895872217272,2.1882010758413046
158,Financials,Investment Banking & Brokerage,RJF,58.62381652104847,59.143979189833246,58.0661119936458,58.640460683081926,0.01664416203335981,1.077867196187451,0.029377515463706958,1.8632267098250197
288,Industrials,Industrial Machinery,SNA,139.25889197776016,140.3301930897537,138.14591501191467,139.28999205718813,0.031100079428117124,2.184278077839559,0.029159788310818478,1.5636253125066337
279,Industrials,Industrial Machinery,CMI,134.61518268467026,135.81095599682297,133.4404532962668,134.64493248610026,0.029749801429705913,2.3705027005559995,0.029145338239742625,1.810649341793963
412,Utilities,Electric Utilities,ETR,73.46083717235909,74.04764344718036,72.87484162033353,73.4819301032564,0.02109293089753781,1.1728018268467022,0.028990441415945197,1.5993478681695257
178,Financials,Regional Banks,HBAN,10.618889594916608,10.721969261318517,10.513176648133447,10.621371564733927,0.002481969817315325,0.20879261318506767,0.028495420692733597,1.9762555708362914
235,Health Care,Pharmaceuticals,JNJ,107.31420976965853,107.93497378872122,106.67817426528997,107.34156473391594,0.027354964257346983,1.2567995234312948,0.02845494325848552,1.1799538290561435
43,Consumer Discretionary,General Merchandise Stores,DG,69.56614376489279,70.21025798252585,68.92473391580623,69.58420571882446,0.0180619539316918,1.2855240667196197,0.02757453756063849,1.8535597704385176
182,Financials,Regional Banks,RF,10.932434551231133,11.052529070691019,10.815292692613177,10.935607625099292,0.003173073868149299,0.23723637807783954,0.027479845891678508,2.2007017895856307
258,Industrials,Building Products,ALLE,64.16677798682979,64.74000329256826,63.5782516462842,64.18211194731893,0.015333960489181732,1.1617516462841002,0.027459245063928328,1.8676899254700359
54,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",HLT,66.28403985507242,66.78783695652174,65.78455217391299,66.30644927536231,0.02240942028985508,1.0032847826086957,0.027442131711368365,1.5148977628990128
334,Information Technology,Semiconductor Equipment,AMAT,25.83879658459097,26.114574583002373,25.53844455917396,25.8389253375695,0.00012875297855436638,0.5761300238284349,0.027269489730380972,2.213488760043631
70,Consumer Discretionary,Specialty Stores,GPC,89.42884034948379,90.08400182684682,88.74586092136619,89.45334392374903,0.024503574265289884,1.3381409054805402,0.027252941826892665,1.5015033661004265
332,Information Technology,Internet Services & Infrastructure,AKAM,56.606090468625844,57.218038681493226,56.00950436854651,56.62541930103252,0.019328832406671978,1.2085343129467825,0.027181245848020525,2.1645550893624783
